入稿済み,タイムスタンプ,どの企業のESですか（部門も含めて）,いつの代の選考で使われたESですか,いつの選考ですか,出身大学,学部,ESを提出した時のこの企業への志望度を教えてください,このESはES選考を通過しましたか,この企業の最終的な選考結果を教えてください,１ESの質問（文字数まで含めて）,1その答え,2 ESの質問（文字数まで含めて）,2 その答え,3 ESの質問（文字数まで含めて）,3 その答え,4 ESの質問（文字数まで含めて）,4 その答え,5 ESの質問（文字数まで含めて）,5 その答え,6 ESの質問（文字数まで含めて）,6 その答え,7 ESの質問（文字数まで含めて）,7 その答え,8 ESの質問（文字数まで含めて）,8 その答え,9 ESの質問（文字数まで含めて）,9 その答え,10 ESの質問（文字数まで含めて）,10 その答え,11 ESの質問（文字数まで含めて）,11 その答え,12 ESの質問（文字数まで含めて）,12 その答え
,2017/07/20 12:12:16,ロックオン,18卒,本選考,沖縄大学,法経学部,5,はい,社長面接落ち,あなたの幼少期（生まれてから小学生時代まで）に周りの大人に教わり、今も大事にしている事を教えてください。,私は小学校３年生の時に父に言われた言葉を大切にしています。その言葉は「仲間を大切にしなさい」です。それから私は仲間を大切に思うようになりました。当時サッカー部に所属していた私は、周りより経験が長くチームを引っ張る存在でした。大会の準決勝でチームのディフェダーがミスをし、点を取られて負けてしまいました。仲間に対し「お前のミスで試合に負けた」と私は発言し、チームの空気を悪くしていしまいました。その日家に帰ると、父にひどく叱られ「仲間を大切にしなさい」と言われました。そこで私は、相手の立場に立って物事を考えたのを覚えています。彼のミスは事実だが、私だってミスをすることはある。逆に私がシュートを外しても、攻めることなくポジティブな声掛けをしてくれていた仲間。私は天狗になり仲間を見ていなかったんだと気づきました。そのあと彼に謝りに行き、自分が情けなく、恥ずかしかったことを鮮明に覚えています。それから仲間といるとき、組織として動くときは皆のことを意識するようになった。いつのまにか仲間は私にとって必要不可欠なものとなっています。社会に出ても、父の言葉を忘れず仲間と楽しんで働きたいです。,あなたの「◯◯のために本気になった経験」を教えてください。,私は学園祭の成功のために仲間と本気で取り組みました。大学３年生の１１月に学祭実行役員を務めました。そこで私にとって「仲間」は必要不可欠な存在だと気づきました。５月から半年間、約６０名の仲間と準備を続けました。私は就活と同時進行だったので、時間を作るのが難しく仲間に迷惑をかけることもありました。時間は過ぎ、最後の準備期間になりました。最後の３日間は大学に宿泊申請を提出し、準備を進めました。１日に約１時間ずつしか眠れず、皆にとって苦しい時間でした。それでも私は常にポジティブでいました。前向きでいることがチームのモチベーションを上げるために必要だと感じたからです。仲間と過ごす３日の準備期間は楽しみも感じました。それは同じ志、熱量をもった仲間と一緒なら、苦しみも共有し乗り超えられると知ったからです。私の仲間は「学祭を成功させたい」と皆が同じ志を持っていました。。あの学祭前夜の感覚が忘れられず、そんな働き方がしたいと感じました。なので社会に出ても、「同じ志」を持った仲間と「同じ熱量」で働くことを楽しみにしています。,あなたは将来「何のために」「なぜ」本気になりたいと考えていますか。,私は将来仕事を楽しむために本気になりたいです。なぜ本気になるかというと、社会に出ると仕事をしている時間が一番長くなります。その仕事を楽しまきゃもったいないと考えているからです。私が仕事を楽しみたいと思うようになったきっかけがあります。私が現在住んでいる沖縄では貧困や、賃金格差などの社会問題が渦巻いています。その影響で就活では、公務員か、地方銀行が圧倒的に人気です。ほとんどが安定を求めて就活をしている現状です。安定を求め就職した先輩たちは、皆辛そうに働いてるように見えました。私はこうはなりたくない。将来仕事が楽しいと胸を張って言える働き方がしたいと感じました。では私が楽しむにはどんな環境が必要なのか考えました。私が楽しく働くうえでは仲間が必要不可欠です。同じ志を持ち、互いの熱量を感じられる仲間です。そんな仲間と働いていれば、壁にぶつかったときも協力して乗り越えられます。そして苦しみの先の喜びを共有できると考えているからです。ロックオンでは「ｉｍｐａｃｔ on the world」の理念をもとに、皆が一体感も持って仕事をしているところにひかれています。ここでなら最高の仲間と、仕事が楽しいと胸を張って働けると信じています。,,,,,,,,,,,,,,,,,,
,2017/07/20 14:22:34,株式会社ネオキャリア,18卒,本選考,沖縄国際大学,法学部,6,はい,内定,志望動機,"私の将来の夢は「女性から憧れられる女性」になることです。自分の知らない領域にも積極的に挑戦し、常に新たなことに挑戦できる環境が私の理想の就業環境の条件のひとつです。また、人と関わることが好きな私の性格を活かし、チームで、一人では決して成し遂げられない大きな目標に向かって力を合わせていく仕事に大きな魅力を感じています。これらの初心を忘れず、貴社でも社内外問わず様々な人と関わることができ、また多くの経験ができる業務に従事したいと強く思っております。
",自分の特徴,"私の特徴は「人を巻き込んで主体的に行動できる」ことです。三人姉妹の末っ子として育った私は、常に家族の愛情を受けて育ってきました。その様な愛情も、いい意味でも悪い意味でも家族からの「期待」として、幼いながらに責任感を感じていたのを覚えています。「母の期待に答えて喜ぶ顔を見たい」という一心で、どうすべきかを考えて行動するくせを身に付けて育った結果、今になっても「周囲の人がどう思っているか」「どんなことが自分に望まれているか」を常に考えられる能力が備わっていると思います。
",,,,,,,,,,,,,,,,,,,,
,2017/07/20 14:29:55,株式会社VOYAGE GROUP,18卒,本選考,沖縄国際大学,法学部,6,はい,3次面接落ち,学生時代に頑張ったこと(800字以内),"私が大学時代に一番頑張ったことは、成人式（同窓会）の運営及び企画です。
在学していた高校は沖縄では珍しく30年続く伝統的な中高一貫の進学校です。その伝統行事であるイベントの運営・企画・詳細管理の全権任をまかされていました。運営責任者を任され10名の各幹事メンバーを取りまとめ、約300名の同級生が参加するイベントを開催することが私のミッションでした。運営当初、幹事メンバーは活動する気配もなく、モチベーションも低い状態でした。
運営責任者として、周りの幹事メンバーがどうしたら行動し結果を出してくれるのかを考え、現状の問題を洗い出すと、決定的にかけていたのは、このイベントを成功させるという情熱と、その方向性がきちんと示せていないことでした。方向性が不透明のまま企画が進んでいたことから、幹事メンバーのミーティングの参加率は低く、結果、パフォーマンスが落ちていることがわかりました。
改善策として「見える化」をし、連絡は常にグループラインで行うこと、ミーティングの日時設定を明確にするなど、幹事メンバー全員が参加し、コミニケーションを密に取りった結果、一人一人が自分の分担された役割を果たし、スケジュール通り進んでいきました。
コミニケーションを密に取った結果、開催連絡が漏れている同級生の存在が発覚し、各リーダーと改善策を一緒に考え、在籍時のクラス単位でSNSでの拡散をお願いし、SNSではカバーできない同級生へは、直接連絡をして参加の有無を確認し、同級生全員へ同じ情報を届けることに尽力しました。
任せられた自分の役割を果たし、修正しながら方向性を示すこと、一緒に悩み考えることができる幹事メンバーとの信頼関係があったからこそ、最後まで頑張れたと思っています。責任者は、誰よりも行動し、メンバーのモチベーションを保ち、団結することを求められていると痛感しました。組織を円滑に動かすコツを学びました。",就活を行う上で重要視していること(400字以内),"私が就活を行う上で重要視していうことは、2つあります。
１つ目は、自分自身が成長できる環境であるいうことです。大学在籍中に行なったアルバイトを通して、どう顧客にサービスを提供するのかを徹底的に考え、行動してきました。それぞれの場所で日々新しいことに挑戦し続けることで360°色んな方向へ成長ができると思っています。
2つ目は、女性が働きやすい環境であるということです。女性が働きやすい環境は、福利厚生として産休や育休が充実していることだと思います。私は父が公務員、母は民間企業で働いている両者対照的な家庭で育ちました。母は家に帰ると家事をこなし、その後自宅で仕事をしています。また職種柄資格取得勉強を行なったりと、そういう家庭と仕事の両立してる母の姿を見て、私も尊敬する母のように働きたいと思います。",他にどの企業を受けようと思っているか(400字以内),私は過去に人と人をつなげた時に、つなげた人同士が喜んでくれたという経験があります。その時に人をつなげることは人しかできないと思いました。そして人をつなげることで誰かが喜んでくれることが、自分自身も幸せだと感じました。現代ではインターネットを通じで人と人がつながることができます。しかし、本当に人のためになる関係性をつくる上で必要なことは、結局オフラインで、人と人をつなぐことができるのは人だと体感しました。だからこそ、自分自身が中間役となり、人と人、人と企業を繋げることができる人材業界に価値を感じています。実体験よりオフラインで人をつなげることができる人材業界に興味があり、株式会社パソナキャリアを受けようと思っています。,,,,,,,,,,,,,,,,,,
,2017/07/21 18:15:42,ビーンズラボ,18卒,本選考,沖縄国際大学,経済学部,2,はい,二次の筆記試験落ち,自己PR,私は、人を巻き込むことが得意です。 それが発揮されたのは、大学2年次の時に参加した県内インターンシップ事前研修にて、２０名ほどの班のリーダーを務めた時です。インターンシップ運営責任者から 「社会人になると、チームで働くことしかない」という話しを聞いた私は、信頼した人同士でないと仕事を任せ、目的意識を持ったチームを作ることができないと考え、メンバー１人１人が信頼し合い、助け合えるチーム作りを始めました。まず、 私が実践したことは、チームの空気を明るくすることです。自分の課題を終わすために必死になってメンバー内でもコミュニケーションが少なくなり、暗い雰囲気に なっていたことから、メンバーを集め、「イェーイ」と声を出し、メンバー全員とハイタッチするという時間を作りました。それを行ったことによって、メンバーの コミュニケーションが広がり、課題にかかる時間を短縮するにはどうしたらいいかをメンバー同士で意見交換するようになりました。この経験から、人を巻き込むことの大切さを学びました。,学生生活で最も打ち込んだこと､或いは挑戦してきたこと､一番力を入れたこと､感動したことは何ですか？ 何故打ち込み､挑戦し､力を入れたか、そして学んだことを教えて下さい,私が学生生活で一番力を入れたことは、インターンシップの告知活動です。私は、研修の提供を行っている会社でアルバイトをしており、主な業務として、沖縄県から委託されているインターンシップの告知活動を行いました。告知活動では、先生にアポ取りを行い、授業内で学生にプレゼンをしました。学生の反応は少なく、携帯を触っている学生が多かったことから、話を聞いてもらうために、1年次と2年次には、自分自身の経験から「大学生活が充実するインターンシップです。」と伝えました。また、3年次には、事前にインターンシップ参加者の情報を調べ、「参加した学生は、就職活動で良い結果を残しています。」ということを伝え、相手に理解してもらうように工夫しました。この結果、学生の反応が明らかに変わり、私の目を見て話を聞いてくれ、伝え方は大事だということを学びました。,どのような考えで就職活動を進めているか、企業選びの基準は何ですか。,私は、クライアントと関わる距離の近さを重要視し、就職活動を進めています。その理由は、私が友人の相談ごとに対し、なぜこのような相談をしてきたか、言葉の裏にある背景や価値観を引き出し、相談ごとを解決することで、友人の力になれたと実感し、嬉しさを感じました。そのような経験から、私はクライアントと関わる距離の近い企業を基準とし、クライアントの課題解決に取り組んでいきたいです。,当社を志望する理由,私は、貴社の説明会に参加した際に、社員の8割がIT未経験者にも関わらず、大きな案件を取り扱っているという話を聞き、私の力が大きな案件に関わり、クライアントに貢献していくことで楽しんでいる自分の姿をイメージすることができました。貴社の大きな案件を取り扱えるほどの研修を受け、努力し続けることで、私の力を発揮していきたいです。また、アルバイトで伝え方の重要性を学んだことから、「イツモトナリニ」という理念を体現し、クライアントの課題解決に貢献したいと思い、貴社に志望しました。,当社のイメージは何ですか、また、３年後仕事を通じてどういう人になりたいですか。,私は貴社に対し、社員同士の仲が良く、互いに助け合い、人が成長しやすい会社というイメージを持っています。特に、プライベートでも親交があると聞き、仕事の悩みを相談し、改善することで、さらに成長していけるというイメージをすることができました。また、三年後仕事を通して、私は学んできたことを他人に教えられるようになっていたいです。これは、私が学んできたことに対して、私だけができるのではなく、他人にも教えられるようになってこそ一人前と考えているからです。,,,,,,,,,,,,,,
,2017/07/21 21:01:49,日本信号,18卒,本選考,東京大学,農学部,3,はい,2次面接落ち,就職活動で最も大事にしている事は？,私が就職活動をする上で最も大切にしている事は、事業領域や内容です。私は人生のあらゆる場面で支えてくれた「人」、引いてはその「社会」への恩返しをしたいとの思いから、日本に暮らす全ての人々の生活を支えつつもそこに新たな風を吹き込めるような仕事をしたいと思っています。故に仕事をする際には、社会に広く影響を与えられるような領域で、現在のみならず未来に繋がられるような仕事に携わりたいと考えています。,ゼミ・研究テーマ又は得意科目,研究室では農村・漁村家計の生活水準に影響を与える要素を研究対象とし、農村の生活改善を目的としています。中でも私は親戚からよくウナギを頂いた経験からウナギに興味を持っており、またニホンウナギが絶滅危惧種に指定され海外産のウナギの重要性が高まると推測されます。故に、海外産ウナギが国内需要に与える影響について分析したいと考えています。,学生時代に打ち込んできたことは何ですか。,７スポーツ団体（計１０００人所属）の総合代表職です。日頃別々に活動する各団体の構成員に各々の人間関係を広げられる場を提供する事を目的として、団体間交流のため各団体代表と協力しつつ各種競技大会や全体合宿の企画運営を行いました。しかし交流行事では、参加者が所属団体の構成員同士で固まってしまう事が多々ありました。ただそれだと当初の目的が達成されないため、各代表が協力して固まり同士を自然に引き合わせるよう工夫するだけでなく、全員が一体となれる企画を作りました。また、引退後もサークルの５０周年記念祭の企画立案にOBの方々と共に携わり、５００人以上が参加するパーティーの総合司会に抜擢される等、長い歴史を誇る当団体の中で中心的役割を担いました。,自己PRをしてください。,私はチームを課題解決に導きます。総合代表当時、財政圧迫が原因で合宿期間短縮の必要に迫られました。しかし「期間短縮＝交流機会亡失」と捉えた私は合宿規模維持を目標とし、課題に参加者数増加を挙げました。そして総合代表として規模維持の必要性を伝える事で各団体代表との会議を頻繁に設け、他団体と関わる意義の亡失による合宿参加意欲の低下が参加者減少の主要因と結論付けました。故に、まず交流の楽しさを広めるため各団体員参加型の非公式行事を地道に企画しました。また公式行事には役職持ちの団体員に直接説得し積極参加してもらう事で裾野を広げ、誰もが参加し易い環境を作りました。結果参加者数前年度比１．５倍を実現、規模維持に成功し、この経験を経て課題解決能力を身に付けました。,日本信号を志望する理由を教えてください。,貴社であれば、暮らしをより安全かつ快適にするため世界全体にアプローチできると考えたからです。私は仕事を恩返しの手段と捉えています。故にこれまで私を支えてくれた「人」引いては「社会」を支え、豊かに出来るような仕事をしたいと考えており、社会インフラに関わる仕事をしたいとの思いを強く持っています。中でも、交通インフラを扱う貴社でなら、ホームドアや自動改札機・券売機を通じ、安全性と快適性の両面において、日本のみならず世界に影響を与えられる点に魅力を覚えています。入社した際には、乗客の利便性に直接関われるAFC営業部にてお客様のニーズを汲み取る力を養った後、その経験を活かし、より多くのお客様に感動を与えられるような企画の立案に携わりたいです。,あなたが生きていく上で一番大切にしていることは何ですか。理由と共にご記入ください。,「人との繋がり」です。高校２年の時、私は学級委員長を務めていたのですが、秋頃に「私がクラス一可愛い女子の事を好き」との噂が流れ、男子生徒の不興を買い、一気にクラス内で孤立しました。この時に沢山の人が私から離れていきましたが、一方で私を支えてくれる「本当の友人」の存在に気付く事が出来ました。この経験を通じ、人を落ち込ませる事もあるけれども、それ以上に人を支え、温かい気持ちにさせてくれるのが「人との繋がり」であることを知りました。以降、一つ一つの出会いを大切にするようになると共に、互いに支え合っている「人」の暮らしを豊かにすることで、人、引いては社会に恩返しをしたいとの思いを強く抱くようになりました。,,,,,,,,,,,,
,2017/07/21 21:05:45,NTT西日本,18卒,本選考,東京大学,農学部,2,はい,採用責任者面談辞退,自由に自己PRをしてください。,私は竹のような人間です。というのも、私には竹のような芯の強さとしなやかさが備わっています。私は中高６年間バスケットボール部に所属していたのですが、経験者が多い中で初心者でありながらレギュラーとして試合に出る事を志しました。そのために体力面と技術面での遅れを埋めるべく、朝のランニングと晩のドリブル練習を毎日行いました。結果として技術面での遅れを埋められず試合ではベンチ入りまでしか達成できませんでしたが、私には決めた事をやり抜く一貫性があります。また、私は小学校から大学まで、知らない人の多い環境でこそ成長できるとの思いから知り合いの少ない環境を自分の意思で選んで進学しました。そしていつ、どこでも積極的に周りに関わっていくという姿勢を貫き、結果として学級委員長や団体の代表等に推薦され歴任する程の信頼を得ました。私にはチャレンジ精神を持ちつつ、あらゆる環境で自らのベストを尽くせる柔軟性があります。,あなたがNTT西日本を志望する理由を教えてください。,私が貴社を志望する理由は、通信を用いた街づくりを通じて人々の生活を豊かにしたいからです。私は生まれ育った「関西」への感謝から、関西を中心として、日本に暮らす全ての人々の生活の現在と未来を支えたいと思っています。また、「通信」は様々な業界との関連サービスを開発展開できる伸びしろがあり、通信でこそ生活の全側面に寄り添えると考えています。故に業界内でも設備投資額で他の追随を許さない貴社でこそ、より多くの人々にとって安全で快適な未来を構築できると確信しています。入社後には、例えば業務の効率化とお客様の手間の省略を両立したサービス開発を通じ、様々な業界とその先にいる全てのお客様の日々を豊かにしたいです。,自由に自己PRをしてください。,私は大きな問題にも簡単には諦めません。私は学内７スポーツ団体（計１０００人所属）の総合代表を務め、団体間交流の為全体合宿を企画運営していましたが、当時財政圧迫が原因で、期間短縮の必要に迫られました。しかし「期間短縮＝交流機会の亡失」と捉えた私は合宿規模維持を目標とし、課題に参加者数増加を挙げました。そして総合代表として規模維持の必要性を伝え続ける事で、各団体代表との会議を頻繁に設けました。そこでは他団体と関わる意義の亡失による合宿への参加意欲の低下が参加者減少の主要因と結論付けました。故に、まず交流する楽しさを広めるため各団体員参加型の非公式行事を地道に企画しました。また公式交流行事には役職持ちの各団体員に直接説得し積極参加してもらうことで段階的に裾野を広げ、誰もが参加し易い環境を作りました。結果参加者数前年度比１．５倍を実現、規模維持に成功しました。この経験で培った課題解決力は、貴社で通信を用い未来を形作る際に大いに役立てられると確信しています。,,,,,,,,,,,,,,,,,,
,2017/07/21 21:13:43,JR西日本,18卒,本選考,東京大学,農学部,1,はい,リクルーター面談（6回目）辞退,JR西日本に関心を持った理由と、入社して取り組みたいこと、実現したいこと,"【関心を持った理由】
私が貴社に関心を持った理由は、貴社の事業領域に魅力を感じたからです。私は生まれ育った場所である「関西」への感謝の思いから、関西を中心として人々の生活の現在と未来を支えたいと思っています。その中で鉄道は他のインフラとは比べ物にならない程多くのお客様の命をお預かりするため、常に危機感と向上心を持ってお客様を意識した仕事ができる点が魅力的で、また西日本地域は東日本とは異なり、大都市が各地に点在しており各都市で求められている事も異なっています。故に貴社でなら、各地でお客様のニーズを吸い上げる事で自らの視野を広げ、その経験を関西を初めとして西日本全体に還元していく事が出来ると考えています。

【取り組みたいこと、実現したいこと】
入社後には、「鉄道」内でも観光分野に携わり、貴社の鉄道の繁栄は勿論の事、鉄道が繋いでいる各都市の未来を意識して仕事に取り組みたいです。人口減少に歯止めが利かない現状を鑑みると西日本各地への誘客に向け観光に注力する必要性は高く、また各地への観光客増加により鉄道以外の産業にも好影響を与え、結果として西日本のより良い姿を未来に繋いでいけると考えています。具体的には京都や奈良、広島等西日本各地にある名所を訪れてもらえるような観光イベントの企画やそのPRに携わることで、貴社の鉄道からより多くの人々に西日本の素晴らしさを知ってもらい、最終的に都市毎の活性化を西日本全体の発展に繋げたいと考えています。",学生生活で特に力を入れて取り組んだ学業や活動。また、それをJR西日本でどのように活かしたいと思うか。,"【取り組んだ事】
私が学生生活で特に力を入れて取り組んだことは、計１０００人が所属する７スポーツ団体の総合代表職です。日頃は個別で活動する７団体間の交流の為、私は各種競技大会や全体合同合宿の参加者数増加を目標とした企画運営を任期中に行いました。また、任期後にもサークルの５０周年記念祭の企画立案にOBの方々と共に携わり、その中で500人以上が参加するパーティーの総合司会に抜擢される等長い歴史を誇る当団体の中でも中心的役割を担いました。これらの経験を通じ、目標実現に向け周囲を巻き込んでいく力を身に付けると共に、持ち前のチャレンジ精神や幅広い年代の方と交流する際に必要となる社交性を更に高める事が出来ました。

【活かし方】
私は目標実現に向けて、年齢の上下を問わず周囲を巻き込んでいく事の出来る人間だと自負しています。この力は、総合職としてよりお客様目線に立った企画や戦略を立案する段階から実行にかけてまで、各段階で活かす事ができると考えています。企画段階での他部署との連携や、またよりお客様満足度の高い観光イベントを提供するため地域や現場の方々との相互理解及び密接な連携を図る際に、私のコミュニケーション能力や実行力が不可欠なものになると確信しています。観光客増加による都市毎の活性化を西日本全体の発展に繋げるため、どの地域においても訪れたお客様に「来てよかった」と言って頂けるように持てる力を出し切りたいです。",,,,,,,,,,,,,,,,,,,,
,2017/07/21 21:17:30,JR東海,18卒,本選考,東京大学,農学部,3,はい,リクルーター面談（1回目）辞退,大学での研究・ゼミ・授業等で学んだ内容について記入してください。,私は大学三年の時に山形県の限界集落を訪れ、三日間のワークショップを通じた町おこしの提案に取り組みました。そこでは初め町おこし自体に消極的だった集落の方々に日々熱心に提案し続け、徐々に私達の話を聞いて頂けるようになりました。この経験を通じ、地域活性化は勿論、全ての場面において相手に誠意を持って粘り強く働きかける事の大切さを学びました。,当社への志望理由を記入してください。,私が貴社への入社を志望する理由は、貴社の事業領域と方針に魅力を感じたからです。私は仕事を恩返しの手段と考えており、私を育ててくれた「関西」及び「東京」を支え発展させていけるような仕事をしたいと考えています。また、貴社の社員の方々より、貴社の各事業は都市毎で施策を臨機応変に変えているという事をお伺いしました。故に貴社でなら、各地で異なるお客様のニーズを吸い上げる事で自らの視野を広げ、その経験を沿線全体に還元する事が出来ると考え、魅力に感じています。入社後には営業本部で「観光」に携わり、都市に応じた方法でエリア外のからの需要喚起を行い、最終的に都市毎の活性化を沿線全体の発展に繋げたいと考えています。,学生時代に最も打ち込んだ事など、自由に自己PRしてください。,"アピールポイント：不撓不屈の精神・チームを課題解決へと導く能力

困難：大学２年の時に私は学内７スポーツ団体（計１０００人所属）の総合代表職を務めました。そして、日頃は団体毎で個別に活動している各団体の構成員に各々の人間関係を広げられるような場を提供するため、各団体の代表と協力しながら各種競技大会や全体合宿の企画運営を行いました。ただ代表当時、年来の合宿参加者減少及びバス貸し切りの料金値上げによる財政圧迫が原因で、合宿期間短縮の必要に迫られていました。しかし、何もせず、安易に短縮という策を取る事は出来ませんでした。
打破：「期間短縮＝交流機会の亡失」と捉えた私は合宿規模維持を目標とし、課題に参加者数増加を設定しました。そして総合代表として規模維持の必要性を伝え続ける事で、各団体代表との会議をより頻繁（週１→３）に設けました。そこでは他団体と関わる意義の亡失による合宿への参加意欲の低下が参加者減少の主要因と結論付けました。故に、まず交流する楽しさを広めるため各団体員参加型の非公式行事を地道に企画しました。また公式交流行事には役職持ちの各団体員に直接説得し積極参加してもらうことで段階的に裾野を広げ、誰もが参加し易い環境を作りました。結果参加者数前年度比１．５倍を実現、規模維持に成功しました。",,,,,,,,,,,,,,,,,,
,2017/07/21 21:22:01,京王電鉄,18卒,本選考,東京大学,農学部,5,はい,1次GD選考辞退,"企業選びの際にあなたが重視するポイントは何ですか？
重視する順番に３つ挙げて、理由もあわせてお書きください。 ",私が企業選びの際に重視するポイントは、重視する順に事業領域、仕事内容、そして人を含めた企業の風土です。私は人生のあらゆる場面で支えてくれた「人」、引いてはその「社会」への恩返しをしたいとの思いから、人々の生活を支えつつもそこに新たな風を吹き込めるような仕事をしたいと考えています。故に自らの仕事が社会に貢献していると目で見て感じられるような事業領域で、現在のみならず未来に繋げられるような仕事に携わりたいです。そしてその中でも、若い内から様々な仕事が出来る風通しの良い環境で、将来的に人々の生活向上のため多面的な提案ができる人間になれるよう、人と協力しながら多様な経験を積んでいきたいと考えています。,京王電鉄を志望する理由と入社後に実現したいことは何ですか？,私が貴社を志望する理由は、貴社が進める「街づくり」が魅力的だからです。私は大学進学を機に上京し、京王線沿線に住んでいたのですが、その時最も感じたのが、「駅を利用する楽しさ」でした。駅には書店や雑貨店等様々な施設が併設され、駅から出ても店が立ち並び、貴社が利用者の立場に立ち、生活に密着した街づくりを行ってきた事を強く感じました。故に、沿線住民の利便性や快適性を重視した仕事をしている貴社でなら、利用者の事を常に意識しながら人々の生活をより豊かにしていく事が出来ると感じ、魅力を覚えています。入社後には駅開発に携わり、私も感じた京王電鉄を利用する楽しさをより多くの人々に広げていきたいです。,あなたが他人に負けないと考える強みは何ですか？学生時代のエピソードを交えて説明してください。,私の絶対的な強みが「チームを課題解決へと導く能力」です。大学２年の時に私は計１０００人が所属する学内７スポーツ団体の総合代表職を務めました。そして、日頃は団体毎で個別に活動している各団体の構成員に各々の人間関係を広げられるような場を提供するため、各団体の代表と協力しながら各種競技大会や全体合宿の企画運営を行いました。ただ代表当時、年来の合宿参加者減少及びバス貸し切りの料金値上げによる財政圧迫が原因で、合宿期間短縮の必要に迫られていました。しかし安易に短縮という策を取りたくなかった私は、合宿規模維持を目標とし、目標達成のための課題として参加者数増加を挙げました。そして各団体代表との会議を定期的に設ける事で各団体の現状把握及び合宿参加者減少の原因分析を行い、他団体と関わる意義の亡失による合宿への参加意欲の低下が合宿参加者減少の主要因との結論に至りました。故に、まず交流する楽しさを広めるため各団体員参加型の非公式行事を地道に企画しつつ、公式の交流行事には役職持ちの各団体員に積極参加してもらい、誰もが参加し易い環境を作りました。結果参加者数前年度比１．５倍を実現、合宿規模維持に成功しました。,"あなたのこれまでの人生における「ターニングポイント」を教えてください。
また、それによりあなたが何を学び、どのように変わったのかを教えてください。",私の「ターニングポイント」は高校２年時のクラス内での孤立です。当時私は学園祭中に出店する模擬店の代表を務め、関係生徒との会議を積極的に行っていました。ところがその過程で「私がクラス一可愛い女子の事を好き」との噂が流れ、男子生徒の不興を買い、クラス内で孤立しました。しかし理不尽な展開に悔しさを覚える中でも、私は自分に至らない点は無かったか内省し続けました。結果、意見を纏めるにあたり人の意見をもっと積極的に汲み取るべきであったとの結論に至り、リーダーとして自分自身に欠けていた点に気付くことが出来ました。またこの時極限まで内省し続けた事で、物事や自分自身を俯瞰的に見る能力を身に付けました。加えて、この時に沢山の人が私から離れていく中でも、私を支えてくれる本当の友人を得る事が出来ました。その友人達の助けもあり、理不尽には屈しないとの信念を貫き、高校３年間を無遅刻無欠席のまま卒業する事が出来ました。,,,,,,,,,,,,,,,,
,2017/07/21 21:24:41,近鉄グループホールディングス,18卒,秋・冬のインターン,東京大学,農学部,3,はい,インターン通過,部活動・サークル・ボランティア・アルバイト・他社のインターンシップ経験等を教えてください。,"アルバイト：家庭教師（小５女子・中２男子）　接客・レジ対応等（居酒屋）
保有資格：普通自動車免許(AT限定)・英検２級・TOEIC740・硬筆4段毛筆3段（中高生の部）
インターンシップ経験：無
所属サークル：東京大学スポーツ愛好会バドミントンパート　役職：会長兼バドミントンパート本部
私は各３０人程度が所属する７サークルの母体となる、１学年平均２５０人が所属する学内最大スポーツサークルの総合代表（役職名：会長）を務めました。サークル間交流のため、私は各サークルの代表（役職名：本部）と共に、各種競技大会や生協を貸し切っての交流パーティー、また年２度の全体合宿の企画運営を行いました。加えてサークルの５０周年記念祭の総合司会を務める等、長い歴史を誇る当サークルの中で中心的役割を担いました。",当社が実施するインターンシップに参加を希望する理由・意気込み,私が貴社のインターンシップへの参加を希望する理由は、貴社が首都圏で展開している事業を深く知ることで「関西から日本の、そして世界の暮らしを豊かにする」ために自らが出来る事を具体的にイメージ出来るとの考えからです。私はこれまで常に「人」に支えられてきました。故にこれからは「人」への、引いては私を育ててくれた「関西」への恩返しをしたいと考えています。また、中学高校時代には毎日貴社の鉄道を利用しており、「近鉄」というブランドに馴染みがあります。故に、これまで利用するばかりだった「近鉄」ブランドが、鉄道事業を初め不動産事業、流通事業、レジャー事業等様々な事業を通じて実際にどのように人々の生活を支えているのか肌で感じたいです。そして本インターンシップを通じて会社の雰囲気を肌で感じつつ他参加者と交流することで、最終的に「関西から豊かさを発信していく」ために個人で、もしくはチームとして自らが出来る事は何かという事を突き詰めていきたいと考えています。,,,,,,,,,,,,,,,,,,,,
